辯中邊論卷上	(Madhyāntavibhāga-bhāṣya), first scroll
如是已顯虛妄分別有相無相，此自相今當說。	Having thus explained the characteristic of existence and the characteristic of nonexistence in relation to false discrimination, I will now explain the intrinsic characteristic. The verse reads as follows:
頌曰：   識生變似義、   有情、我及了，   此境實非有，   境無故識無。	Consciousness produces the appearances of (1) objects, (2) sentient beings, (3) self, and (4) cognitions. These objects are actually nonexistent. Since objects are nonexistent, there is no consciousness.5 Commentary:
論曰：變似義者，謂似色等諸境性現。	“The appearance of objects” means the appearance of the qualities of objects such as form and so forth.
變似有情者，謂似自他身五根性現。	“The appearance of sentient beings” means the appearance of qualities of the five faculties of the body of oneself and others.
變似我者，謂染末那與我癡等恒相應故。	“The appearance of self” means the afflicted manas (mind) because it is always concomitant with delusion in regard to the self and so forth.
變似了者，謂餘六識，了相麁故。 此境實非有者，謂似義似根無行相故，似我似了非真現故，皆非實有。	“The appearance of cognitions” means the other six consciousnesses (visual, auditory, etc.), because the characteristics of the cognitions are coarse.6 “These objects are actually nonexistent” means that there is no mode of appearance with respect to objects and faculties in appearance. Since Chapter One the appearances of self and cognitions are unreal appearances, all the aforementioned things are not actually existent.
境無故識無者，謂所取義等四境無故，能取諸識亦非實有。	“Since objects are nonexistent, there is no consciousness” means that since the four aforementioned grasped objects are not existent, the consciousnesses that grasp them are also not actually existent. The verse reads as follows:
復次頌曰：   虛妄分別性，   由此義得成，   非實有全無，   許滅解脫故。	The nature of false discrimination is obtained based upon this meaning: it is neither actually existent nor entirely nonexistent. Liberation is thus considered to be the cessation [of false discrimination].
論曰：虛妄分別由此義故成非實有，如所現起非真有故；	Commentary: “False discrimination” is thus defined based on this meaning: it is established that it is not actually existent, since it is like something manifested, which is not actually existent.
亦非全無，於中少有亂識生故。	It is also not entirely nonexistent, since herein there is at least the arising of disturbed consciousness.
如何不許此性全無？	Why is this nature not admitted to be entirely nonexistent?
以許此滅得解脫故。	Because we accept that liberation is attained from the cessation of this [false discrimination].
若異此者，繫縛解脫則應皆無，如是便成撥無雜染及清淨失。	If it were otherwise, then bondage and liberation should not exist, and, in this manner, it would constitute the fault of denying defilements and purification.
已顯虛妄分別自相，此攝相今當說。	Having explained the intrinsic characteristic of false discrimination, here the collective characteristic will be explained.
但有如是虛妄分別，即能具攝三種自性。	It is only this false discrimination that fully comprises three types of intrinsic natures.
頌曰：   唯所執、依他，   及圓成實性，   境故分別故，   及二空故說。	The verse reads as follows: The natures of the conceptualized, the other-dependent, and the perfectly accomplished are explained on account of object, discrimination, and the emptiness of the two.
論曰：依止虛妄分別境故，說有遍計所執自性。	Commentary: The existence of the nature of the conceptualized is explained based on falsely discriminated objects.
依止虛妄分別性故，說有依他起自性。	The existence of the nature of the other-dependent is explained based on the nature of false discrimination.
依止所取能取空故，說有圓成實自性。	The existence of the nature of the perfectly accomplished is explained based on the emptiness of the grasped and the grasper.
已顯虛妄分別攝相，當說即於虛妄分別入無相方便相。 頌曰：   依識有所得，   境無所得生；	Having explained the collective characteristic of false discrimination, I will explain the characteristic of the means by which one comprehends the characteristic of nonexistence in relation to false discrimination.7 The verse reads as follows:
依境無所得，   識無所得生。	Due to perception of consciousness, nonperception of objects arises; due to nonperception of objects, nonperception of consciousness arises. Commentary:
論曰：依止唯識有所得故，先有於境無所得生；	On the basis of perception of consciousness only (vijñaptimātra), first there arises nonperception of objects.
復依於境無所得故，後有於識無所得生。	Moreover, due to nonperception of objects, there subsequently arises nonperception of consciousness.
由是方便，得入所取能取無相。	It is through these means that one comprehends the characteristic of the nonexistence of grasped and grasper.8 Next, the verse reads as follows: Due to the nature of perception of consciousness, [the nature of] nonperception [of consciousness] is also established.
復次頌曰：   由識有得性，   亦成無所得，   故知二有得，   無得性平等。	It is thus known that both perception and nonperception are equivalent in nature.
論曰：唯識生時現似種種虛妄境故，名有所得。	Commentary: Perception is so called because when consciousness only occurs, there appear to exist various types of falsely discriminated objects.
以所得境無實性故，能得實性亦不得成。	Since the perceived objects are unreal, it is also not possible to perceive any reality to them.
由能得識無所得故，所取能取二有所得，平等俱成無所得性。	Having realized nonperception of consciousness, both grasped and grasper, [although] perceptible, are together realized as equally inapprehensible.
顯入虛妄分別無相方便相已，此差別異門相今次當說。	Having explained the characteristic of the means by which one comprehends the characteristic of nonexistence in relation to false discrimination, I will now explain the characteristics of the distinctions and synonyms.
頌曰。	The verse reads as follows:
三界心心所，   是虛妄分別，   唯了境名心，   亦別名心所。	The mind and mental factors of the three realms are false discriminations. Mere cognition of objects is called mind, and distinctions are called mental factors.
論曰：虛妄分別差別相者，即是欲界色無色界諸心心所。	Commentary: The characteristics of distinction related to false discrimination are the minds and mental factors of the desire realm, the form realms, and the formless realms.
異門相者，唯能了境總相名心，亦了差別名為受等諸心所法。	As to the characteristics of synonyms [related to false discrimination], the mere cognition of the general characteristic of objects is called mind. Also, cognitions of distinctions are called the mental factors, such as feeling, etc.
今次當說此生起相。	From here I will explain the characteristic of the arising [of false discrimination]. The verse reads as follows: The first is called conditioning consciousness.
頌曰：   一則名緣識，   第二名受者，   此中能受用，   分別推心所。	The second is called the experiencer. Herein are the mental factors of (1) experience, (2) discrimination, and (3) stimulation. Chapter One Commentary:
論曰：緣識者，謂藏識，是餘識生緣故。	The conditioning consciousness is the store consciousness, since this is the condition for the arising of other consciousnesses.
藏識為緣所生轉識，受用主故名為受者。	The store consciousness functions as the condition for the forthcoming consciousnesses that arise. The subject of experience is called the experiencer.
此諸識中受能受用、想能分別、思作意等諸相應行能推諸識，此三助心故名心所。	Among these consciousnesses, feeling functions to experience, and perception functions to discriminate. Volition, attention, and so forth are concomitant formations, functioning to stimulate [the other] consciousnesses. These three auxiliary mental states are therefore called mental factors.
今次當說此雜染相。	Next, I will explain the characteristics of defilements. The verses read as follows:
頌曰：   覆障及安立、   將導、攝、圓滿、   三分別、受用、   引起并連縛、   現前、苦果故，   唯此惱世間，   三、二、七雜染，   由虛妄分別。	(1) Concealing and obstruction, (2) establishing, (3) leading, (4) collecting, (5) completing, (6) threefold discrimination, (7) experiencing, (8) inducing, (9) fettering, (10) manifesting, and (11) the fruit of suffering. The world is defiled due to these. The three, two, and seven defilements result from false discrimination.
論曰：覆障故者，謂由無明覆如實理、障真見故。	Commentary: “Due to concealing and obstruction” means that ignorance obscures reality and obstructs accurate vision.
安立故者，謂由諸行植本識中，業熏習故。	“Due to establishing” means that mental formations deposit karmic perfuming in the base consciousness (i.e., the store consciousness).
將導故者，謂有取識引諸有情至生處故。	“Due to leading” means that consciousness, having attachment, directs sentient beings into a place of birth.
攝故者，謂名色攝有情自體故。	“Due to collecting” means that name and form gather sentient beings into individual existences.
圓滿故者，謂六內處令諸有情體具足故。	“Due to completing” means that the six internal sense bases form sentient beings into a complete body.
三分別故者，謂觸能分別根境識三，順三受故。	“Due to threefold discrimination” means contact can discriminate the three agreeable sensations and three feelings [of pleasure, pain, and neither pleasure nor pain] of faculty, object, and consciousness.
受用故者，謂由受支領納順違，非二境故。	“Due to experience” refers to objects related to sensory experience of what is agreeable, disagreeable, or neither.
引起故者，謂由愛力令先業所引後有得起故。	“Due to inducing” means that the power of craving brings about the arising of a future existence induced by past karma.
連縛故者，謂取令識緣順欲等連縛生故。	“Due to fettering” refers to grasping, which causes fetters to arise, in which consciousness is made to conform to desire and so forth.
現前故者，謂由有力令已作業所與後有諸異熟果得現前故。	“Due to manifesting” refers to the force of previous existences causing the appearance of various matured karmic fruits in a future existence based upon past activities.
苦果故者，謂生老死性有逼迫，酬前因故。	“Due to the fruit of suffering” means that the natures of birth, aging, and death are impelled as retribution from past causes.
唯此所說十二有支，逼惱世間令不安隱。	The twelve links of dependent origination explained here disturb people and make them uncomfortable.
三雜染者，一煩惱雜染，謂無明愛取； 二業雜染，謂行有； 三生雜染，謂餘支。	The three defilements: (1) the defilements of afflictions, which refer to ignorance, craving, and grasping; (2) the defilements of karma, which refer to mental formations and becoming; (3) the defilements of birth, which refer to the other links of dependent origination.
二雜染者，一因雜染、謂煩惱業； 二果雜染、謂所餘支。	The two defilements: (1) defilements as cause, which refer to afflicted karma; (2) defilements as results, which refer to the remaining links of dependent origination.
七雜染者，謂七種因：一顛倒因，謂無明； 二牽引因，謂行； 三將導因，謂識； 四攝受因，謂名色、六處；	The seven defilements refer to seven types of causes:
五受用因，謂觸、受； 六引起因，謂愛、取、有； 七厭怖因，謂生、老死。	(1) the cause of cognitive distortion, which refers to ignorance [among the twelve links of dependent origination]; (2) inducing causes, which refer to mental formations; (3) leading causes, which refer to consciousness; (4) gathering causes, which refer to name, form, and the six sense bases; (5) experiential causes, which refer to contact and feeling; (6) inductive causes, which refer to craving, grasping, and becoming; (7) distressing causes, which refer to birth, aging, and death.
此諸雜染無不皆由虛妄分別而得生長。 此前總顯虛妄分別有九種相：一有相、二無相、三自相、四攝相、五入無相方便相、六差別相、七異門相、八生起相、九雜染相。	These defilements all grow from false discrimination. Here I summarize the nine characteristics of false discrimination elucidated earlier: (1) the characteristic of existence, (2) the characteristic of nonexistence, (3) the characteristic of intrinsic characteristic, (4) the characteristic of collection, (5) the characteristic of the means by which one comprehends the characteristic of nonexistence [in relation to false discrimination], (6) the characteristic of distinction, (7) the characteristic of synonym, (8) the characteristic of arising, (9) the characteristic of defilement.
如是已顯虛妄分別，今次當說所知空性。	Having thus explained false discrimination, I will now explain the emptiness that is known.
頌曰：   諸相及異門，   義差別成立，   應知二空性，   略說唯由此。	The verse reads as follows: The emptiness of the two should be understood via (1) characteristics, (2) synonyms, (3) meanings, (4) distinctions, and (5) their proofs. The brief explanation is derived from these.
論曰：應知所取能取空性，略說但由此相等五。	Commentary: The emptiness of grasped and grasper should be understood. The brief explanation is derived from these five (characteristics, etc.).
所知空性其相云何？	What are the characteristics of emptiness to be understood? The verse reads as follows:
頌曰：   無二有無故，   非有亦非無，   非異亦非一，   是說為空相。	Chapter One It is by way of nonduality and existence of nonexistence that [we speak of] not-existence as well as not-nonexistence. They are neither different nor identical. This is explained as the characteristic of emptiness. Commentary:
論曰：無二，謂無所取能取。	“Nonduality” refers to the absence of grasped and grasper.
有無，謂有二取之無。	“Existence of nonexistence” refers to there being the nonexistence of the two types of grasping.
此即顯空無性為性，故此空相非有非無。	This explains how emptiness has nonexistence (abhāva) for its nature. Hence, this characteristic of emptiness is neither existence nor nonexistence.
云何非有？	What is meant by “not-existence”?
無二有故。	It is the absence of the two types of existence [of grasped and grasper].
云何非無？	What is meant by “not-nonexistent”?
有二無故。 此顯空相非有非無。	It is that there are the two kinds of nonexistents, [the lack of self in persons and in phenomena].9 This explains the characteristic of emptiness, i.e., neither existence nor nonexistence.
此空與彼虛妄分別非異非一，若異應成法性異法。 便違正理，如苦等性；	This emptiness and that false discrimination are neither different from one another nor identical. If they were different, then it would mean that the nature of a dharma would differ from dharmas, which would be illogical, such as in the case of the nature of suffering and so forth.
若一則應非淨智境亦非共相。	If identical, then it should stand that it [emptiness] is not an object of pure cognition, nor would it be of common characteristic [with phenomena].
此即顯空與妄分別離一異相。	This explains that emptiness and false discrimination are removed from the characteristics of sameness and difference.
所知空性異門云何？	What are the synonyms of emptiness?
頌曰：   略說空異門，   謂真如、實際、   無相、勝義性、   法界等應知。	The verse reads as follows: I will briefly explain the synonyms of emptiness: they should be understood as referring to (1) thusness, (2) the apex of reality, (3) the signless (animitta), (4) the nature of ultimate reality, and (5) experiential reality (dharma dhātu). Commentary:
論曰：略說空性，有此異門。	The brief explanation of emptiness includes these synonyms.
云何應知此異門義？	What are the meanings of the synonyms?
頌曰：   由無變無倒，   相滅聖智境，   及諸聖法因，   異門義如次。	The verse reads as follows: The meanings of the synonyms are in the following order: (1) immutability, (2) the absence of cognitive distortion, (3) cessation of signs, (4) the sphere of noble wisdom, and (5) the cause of the noble dharmas.
論曰：即此中說所知空性，由無變義說為真如。 真性常如，無轉易故。	Commentary: Here emptiness, which is to be understood, is explained. The meaning of “immutability” explains thusness, since reality is constant, not being transitory.
由無倒義說為實際，非諸顛倒，依緣事故。	The meaning of “the absence of cognitive distortion” explains the apex of reality, since there is no basis for cognitive distortions.
由相滅義說為無相，此中永絕一切相故。	The meaning of “the cessation of signs” explains the absence of signs, since here all signs are permanently eliminated.
由聖智境義說為勝義性，是最勝智所行義故。	The meaning of “the sphere of noble wisdom” explains the supreme meaning, since this is the meaning of the sphere of supreme wisdom.
由聖法因義說為法界，以一切聖法緣此生故。	The meaning of “the cause of the noble dharmas” explains experiential reality (dharmadhātu), since all noble dharmas are produced dependent upon this.
此中界者，即是因義。 無我等義如理應知。	Here dhātu refers to the meaning of cause and meanings of not-self, etc., and should be understood according to reason.
云何應知空性差別？	How are we to understand the distinctions in emptiness?
頌曰：   此雜染、清淨，   由有垢、無垢，   如水界全空，   淨故許為淨。	The verse reads as follows: These defilements and purity stem from the presence or absence of taint. Purity is considered pure like the element of water, gold, or space.10 Commentary:
論曰：空性差別略有二種，一雜染、二清淨。	The distinctions in emptiness are of two main types: the first is defiled, the second is pure.
此成染淨由分位別，謂有垢位說為雜染，出離垢時說為清淨。	These constitute defilement and purity. They are distinguished according to the state, which means that the presence of taint is explained as defiled, while it is explained as purity when there is separation from taint.
雖先雜染、後成清淨，而非轉變成無常失。	Although it is first defiled and then becomes pure, it is not that [the nature of emptiness] has transformed, since this would constitute an error with respect to impermanence.
如水界等出離客塵，空淨亦然，非性轉變。	Just as the elements of water and so forth are [essentially] free from contaminants, so too is the purity of space. It is not the case that it is transformed in nature.
此空差別復有十六，謂內空、外空、內外空、大空、空空、勝義空、有為空、無為空、畢竟空、無際空、無散空、本性空、相空、一切法空、無性空、無性自性空。	There are furthermore sixteen kinds of emptiness: (1) inner emptiness, (2) outer emptiness, (3) the emptiness of inner and outer, (4) great emptiness, (5) the emptiness of emptiness, (6) the emptiness of the supreme meaning, (7) conditioned emptiness, (8) unconditioned emptiness, (9) ultimate emptiness, (10) boundless emptiness, (11) the emptiness of nondispersal, (12) the emptiness of original nature, (13) the emptiness of characteristics (lakṣaṇa), (14) the emptiness of all qualities, (15) the emptiness of nonexistence, and (16) the emptiness of the intrinsic nature of nonexistence.
此等略義云何應知？	How should these brief meanings be understood?
頌曰：   能食及所食，   此依身所住，   能見此如理，   所求二淨空。	The verses read as follows: The (1) eater and the (2) eaten (i.e., the experiencing subject and the object of experience), (3) the bodies upon which these are dependent, and (4) the abode.
為常益有情、   為不捨生死、   為善無窮盡，   故觀此為空。	Perceive these according to reason, the emptiness of the two Chapter One kinds of purities that are sought for the constant benefit to beings, so as to not abandon samsara, and so as to be skillfully inexhaustible.
為種性清淨、   為得諸相好、   為淨諸佛法，   故菩薩觀空。	Thus contemplate these as empty, for the purity of the spiritual lineage, for the attainment of the primary and secondary marks, and for the pure Dharma of the buddhas. Thus the bodhisattva contemplates emptiness.
論曰：能食空者，依內處說，即是內空。	Commentary: The emptiness of the eater is explained based on the inner sense bases, which refers to (1) inner emptiness.
所食空者，依外處說，即是外空。	The emptiness of the eaten is explained based on external bases, which refers to (2) outer emptiness.
此依身者，謂能所食所依止身，此身空故，名內外空。	“The body upon which these are dependent” refers to the body upon which the eater and the eaten are dependent. This body is empty, hence it is called (3) the emptiness of inner and outer.
諸器世間說為所住，此相寬廣故名為大，所住空故名為大空。	The receptacle world is called an abode. It is called great due to its vastness. Since the abode is empty, it is called (4) great emptiness.
能見此者，謂智能見內處等空。	“Perceive these” refers to perceiving through knowledge the emptiness of the inner sense bases, etc.
空智空故，說名空空。	The wisdom of emptiness is empty, hence it is called (5) the emptiness of emptiness.
如理者，謂勝義，即如實行。	“According to reason” refers to the supreme meaning, which is the accurate practice of the contemplated reality.
所觀真理，此即空故，名勝義空。	This is empty, hence it is called (6) the emptiness of the supreme meaning.
菩薩修行為得二淨，即諸有為、無為善法。	The bodhisattva practices to attain the two kinds of purity, which refer to conditioned and unconditioned wholesome phenomena.
此二空故，名有為空及無為空。	These two types of emptiness are therefore called (7) conditioned emptiness and (8) unconditioned emptiness.
為於有情常作饒益，而觀空故，名畢竟空。	They constantly benefit sentient beings while contemplating emptiness, hence it is called (9) ultimate emptiness. Samsara is eternal with neither beginning nor end.
生死長遠無初後際，觀此空故，名無際空。	Contemplating this as empty, it is therefore called (10) boundless emptiness.
不觀為空便速厭捨，為不厭捨此生死故，觀此無際生死為空。	To not contemplate this as empty would quickly lead to disillusionment. [The bodhisattvas] contemplate this boundless samsara as empty in order to not become disillusioned with samsara.
為所修善至無餘依般涅槃位，亦無散捨而觀空故，名無散空。	The virtue cultivated while contemplating emptiness is not abandoned up to the state of parinirvāṇa without reminder.
諸聖種姓自體本有，非習所成，說名本性。	This is therefore called (11) the emptiness of nondispersal.11 The spiritual lineages of the nobles are inherent, and are not formed through habituation, hence it is said to be their original nature.
菩薩為此速得清淨而觀空故，名本性空。	The bodhisattva quickly attains purity due to this while contemplating emptiness, hence it is called (12) the emptiness of original nature.
菩薩為得大士相好而觀空故，名為相空。	The bodhisattva attains the primary and secondary characteristics of a great person while contemplating emptiness, hence it is called (13) the emptiness of characteristics.
菩薩為令力無畏等一切佛法皆得清淨而觀此空，故名一切法空。 是十四空，隨別安立。	The bodhisattva attains purity in regard to all the qualities of the Buddha, such as powers and fearlessness, etc., while contemplating this emptiness, hence it is called (14) the emptiness of all qualities. [Up to here] these fourteen types of emptiness have been set forth individually.
此中何者說名為空？	What is here called emptiness? The verse reads as follows: Person and phenomena:
頌曰：   補特伽羅法，   實性俱非有，   此無性、有性，   故別立二空。	their real natures are both not-existent. Hence, the emptiness of the two is separately established here in relation to nonexistence and existence. Commentary:
論曰：補特伽羅及法實性俱非有故，名無性空。	Since the real natures of neither persons (pudgala) nor phenomena exist, [this instance] is called (15) the emptiness of nonexistence.
此無性空非無自性，空以無性為自性故，名無性自性空。	This emptiness of nonexistence is not the intrinsic nature of nonexistence.
於前所說能食空等，為顯空相別立二空；	The (16) emptiness of the intrinsic nature of nonexistence is called as such because the intrinsic nature of emptiness is considered to be nonexistence.12 As explained earlier, in the case of the emptiness of the eater and so forth, the emptiness of the two is separately established to elucidate the characteristics of emptiness.
此為遮止補特伽羅法增益執、空損減執，如其次第立後二空。	This serves to restrain attachment to reification of person and phenomena, as well as attachment to negation by emptiness. The emptiness of the two is established according to this order.
如是已顯空性差別。 此成立義云何應知？	Having explained the distinctions in emptiness, how should the meaning proven here be understood?
頌曰：   此若無雜染，   一切應自脫；	The verse reads as follows: Here if there were no defilements, all would be naturally liberated.
此若無清淨，   功用應無果。	Here if there were no purity, effort would be fruitless.
論曰：若諸法空，未生對治無客雜染者，一切有情不由功用應自然解脫。	Commentary: If phenomena were empty, and prior to the production of an antidote there were no adventitious defilements, then all beings would naturally be liberated without effort.
若對治已生亦不清淨，則應求解脫勤勞無果。	If the antidotes had already been produced and yet there was still impurity, then there would be no fruit when striving in pursuit of liberation.
既爾，頌曰：   非染非不染，   非淨非不淨，   心性本淨故，   由客塵所染。	The verse reads as follows: Neither defiled nor undefiled; neither pure nor impure; since the nature of the mind is originally pure, it is defiled by adventitious defilements.
論曰：云何非染非不染？	Commentary: Why neither defiled nor undefiled?
以心性本淨故。 云何非淨非不淨？	It is because the nature of the mind is originally pure. Why neither pure nor impure?
由客塵所染故。	It is because Chapter One [the nature of mind] is defiled as a result of adventitious defilements.
是名成立空差別義。	This is called proving the meanings of the distinctions of emptiness.
此前空義總有二種，謂相安立。	This previous meaning of emptiness generally includes two types, which refer to characteristics and establishment.
相復有二，謂無及有。	The characteristics further include two types, namely nonexistence and existence.
空性有相，離有離無、離異離一以為其相。	The characteristic of emptiness in relation to existence is being apart from existence, nonexistence, difference, and sameness, which is considered its characteristic.
應知安立即異門等。	One should understand that the establishment is in terms of synonyms and so forth.
辯障品第二已辯其相，障今當說。	Chapter Two Discussion of Obstacles Having analyzed characteristics [the terminology outlined above], I will now explain the obstacles. The verse reads as follows:
頌曰：   具分及一分，   增盛與平等，   於生死取捨，   說障二種性。	The whole and the partial, the excessive and regular, and the grasping and rejection of samsara, are explained as obstacles related to [practitioners of the] two spiritual lineages (gotra).
論曰：具分障者，謂煩惱障及所知障，於諸菩薩種性法中具為障故。	Commentary: The “whole” obstacles refer to afflictive obstacles and cognitive obstacles, since they constitute obstacles within the spiritual lineage of bodhisattvas.
一分障者，謂煩惱障，障聲聞等種性法故。 增盛障者，謂即彼貪等行。	The “partial” obstacles refer to afflictive obstacles, since they obstruct the ways of the spiritual lineages of the śrāvakas, etc.13 The “excessive” obstacle affects those who experience craving, etc.
平等障者，謂即彼等分行。	The “regular” obstacle affects those who act in a normal manner (i.e., those with few defilements).
取捨生死，能障菩薩種性所得無住涅槃，名於生死有取捨障。 如是五障隨其所應，說障菩薩及聲聞等二種種性。	“Grasping and rejection of samsara” refer to obstruction of the attainment of the nirvana of nonabiding by the bodhisattva spiritual lineage, called “the obstacle of grasping and rejection of samsara.” The five obstacles are accordingly like this, explaining the obstructions to the two types of spiritual lineages (bodhisattvas and śrāvakas, etc.). The verses read as follows:
復次頌曰：   九種煩惱相，   謂愛等九結，   初二障厭捨，   餘七障真見，   謂能障身見，   彼事滅道寶，   利養恭敬等，   遠離遍知故。	The nine types of characteristics of afflictions refer to the nine fetters of craving, etc. The first two obstruct disillusionment and dispassion. The other seven obstruct accurate vision, referring to the obstruction of full comprehension of (1) the false view of individuated identity, (2) its things, (3) cessation, (4) the path, (5) the Three Treasures, (6) gain and honor, and (7) detachment.
論曰：煩惱障相略有九種，謂愛等九種結。	Commentary: There are, briefly speaking, nine types of characteristics of obstacles in relation to afflictions, referring to the nine types of fetters, which include craving, etc.
愛結障厭，由此於順境不能厭離故。	(1) The fetter of craving obstructs disillusionment because one is unable to distance oneself from favorable objects of cognition.
恚結障捨，由此於違境不能棄捨故。	(2) The fetter of hatred obstructs dispassion because one is unable to relinquish unfavorable objects of perception.
餘七結障真見，於七遍知如次障故。	The other seven fetters obstruct accurate vision. Full comprehension is obstructed in the following seven ways. (3) The fetter of conceit obstructs full comprehension of the falsity of the view of individuated existence.
謂慢結能障偽身見遍知，修現觀時有間無間我慢現起，由此勢力彼不斷故。 無明結能障身見事遍知，由此不知諸取蘊故。	Due to the momentum of intermittent and continuous arising of self-conceit, this fetter is not severed during cultivation of present contemplation.14 (4) The fetter of ignorance obstructs full comprehension of the view of individuated existence, because one does not realize that [the sentient being is comprised of] appropriated aggregates.
見結能障滅諦遍知，由薩迦耶及邊執見怖畏滅故，由邪見謗滅故。	(5) The fetter of views obstructs full comprehension of the noble truth of cessation, because satkāyadṛṣṭi (the view of individuality) and the views of attachments to extremes (i.e., a view that there is or is not postmortem continuity) lead to fear of cessation, and because wrong views repudiate cessation.
取結能障道諦遍知，取餘法為淨故。	(6) The fetter of grasping obstructs full comprehension of the noble truth of the path, because one grasps other phenomena as pure.
疑結能障三寶遍知，由此不信受三寶功德故。	(7) The fetter of doubt obstructs full comprehension of the Three Treasures, because one does not have faith in the merits of the Three Treasures as a result of this.
嫉結能障利養恭敬等遍知，由此不見彼過失故。	(8) The fetter of envy obstructs full comprehension of gain and honor, and so forth, because one does not perceive their faults.
慳結能障遠離遍知，由此貪著資生具故。	(9) The fetter of avarice obstructs full comprehension of detachment, because one craves the means to sustain life.
復有別障能障善等十種淨法。	Furthermore, there are specific obstacles that obstruct the ten types of pure phenomena, which relate to virtue and so forth.
其相云何？ 頌曰：   無加行非處，   不如理不生，   不起正思惟，   資糧未圓滿。	What are their characteristics? The verses read as follows:
