善法經	The Discourse on Wholesome Qualities
若有比丘不知節者，謂不知若飲若食、若去若住、若坐若臥、若語若默、若大小便，捐除睡眠，修行正智，如是比丘為不知節。	If a monk does not know restraint—that is to say, he does not know [how] to discard sloth and torpor and practice right attentiveness when drinking, eating, going, standing, sitting, lying down, speaking, keeping silent, defecating, or urinating—then such a monk is one who does not know restraint.
若有比丘善知節者，謂知若飲若食，若去若住，若坐若臥、若語若默、若大小便，捐除睡眠，修行正智，是謂比丘善知節也。	If, [however,] a monk knows restraint well—that is to say, he knows [how] to discard drowsiness and practice right attentiveness when drinking, eating, going, standing, sitting, lying down, speaking, keeping silent, defecating, or urinating—then such a monk is one who knows restraint well.
云何比丘為知己耶？	How does a monk know himself?
謂比丘自知我有爾所信、戒、聞、施、慧、辯、阿含及所得，是謂比丘為知己也。	A monk knows of himself: I have such faith, such virtue, such learning, such generosity, such wisdom, such eloquence, such [knowledge of] the canonical texts, and such attainments. This is a monk who knows himself.
若有比丘不知己者，謂不自知我有爾所信、戒、聞、施、慧、辯、阿含及所得，如是比丘為不知己。	If a monk does not know himself—that is to say, he does not know of himself: I have such faith, such virtue, such learning, such generosity, such wisdom, such eloquence, such [knowledge of] the canonical texts, and such attainments—then such a monk is one who does not know himself.
若有比丘善知己者，謂自知我有爾所信、戒、聞、施、慧、辯、阿含及所得，是謂比丘善知己也。	If, [however,] a monk knows himself well—that is to say, he knows of himself: I have such faith, such virtue, such learning, such generosity, such wisdom, such eloquence, such [knowledge of] the canonical texts, and such attainments—then such a monk is one who knows himself well.
云何比丘為知眾耶？	How does a monk know assemblies?
謂比丘知此剎利眾、此梵志眾、此居士眾、此沙門眾，我於彼眾應如是去、如是住、如是坐、如是語、如是默，是謂比丘為知眾也。	A monk knows: This is an assembly of khattiyas, This is an assembly of brahmins, This is an assembly of householders, This is an assembly of renunciants; In that [type of] assembly I ought to walk like this, stand like this, sit like this, speak like this, keep silent like this. This is a monk who knows assemblies.
若有比丘不知眾者，謂不知此剎利眾、此梵志眾、此居士眾、此沙門眾，我於彼眾應如是去、如是住、如是坐、如是語、如是默，如是比丘為不知眾。	If a monk does not know assemblies—that is to say, he does not know: This is an assembly of khattiyas, This is an assembly of brahmins, This is an assembly of householders, This is an assembly of renunciants; In that [type of] assembly I ought to walk like this, stand like this, sit like this, speak like this, keep silent like this— then such a monk is one who does not know assemblies.
若有比丘善知眾者，謂知此剎利眾、此梵志眾、此居士眾、此沙門眾、我於彼眾應如是去、如是住、如是坐、如是語、如是默，是謂比丘善知眾也。	If, [however,] a monk knows assemblies well—that is to say, he knows: This is an assembly of khattiyas, This is an assembly of brahmins, This is an assembly of householders, This is an assembly of renunciants; In that [type of] assembly I ought to walk like this, stand like this, sit like this, speak like this, keep silent like this—then such a monk is one who knows assemblies well.
云何比丘知人勝如？	How does a monk know persons according to their superiority?
謂比丘知有二種人，有信、有不信；若信者勝，不信者為不如也。	A monk knows that there are two types of persons: those who have faith and those who do not have faith. Those who have faith are superior; those who do not have faith are inferior.
謂信人復有二種，有數往見比丘、有不數往見比丘；若數往見比丘者勝，不數往見比丘者為不如也。	Of persons who have faith there are again two types: those who frequently go to see monks and those who do not frequently go to see monks. Those who frequently go to see monks are superior; those who do not frequently go to see monks are inferior.
謂數往見比丘人復有二種，有禮敬比丘、有不禮敬比丘；若禮敬比丘者勝，不禮敬比丘者為不如也。	Of persons who frequently go to see monks there are again two types: those who pay their respects to monks and those who do not pay their respects to monks. Those who pay their respects to monks are superior; those who do not pay their respects to monks are inferior.
謂禮敬比丘人復有二種，有問經、有不問經；若問經者勝，不問經者為不如也。	Of persons who pay their respects to monks there are again two types: those who ask about the discourses and those who do not ask about the discourses. Those who ask about the discourses are superior; those who do not ask about the discourses are inferior.
謂問經人復有二種，有一心聽經、有不一心聽經；	Of persons who ask about the discourses there are again two types: those who listen with concentration to a discourse and those who do not listen with concentration to a discourse.
若一心聽經者勝，不一心聽經者為不如也。	Those who listen with concentration to a discourse are superior; those who do not listen with concentration to a discourse are inferior.
謂一心聽經人復有二種，有聞持法、有聞不持法；	Of persons who listen with concentration to a discourse there are again two types: those who retain the Dharma they have heard and those who do not retain the Dharma they have heard.
若聞持法者勝，聞不持法者為不如也。	Those who retain the Dharma they have heard are superior; those who do not retain the Dharma they have heard are inferior.
謂聞持法人復有二種，有聞法觀義、有聞法不觀義；	Of persons who retain the Dharma they have heard there are again two types: those who examine the meaning of the Dharma they have heard and those who do not examine the meaning of the Dharma they have heard.
若聞法觀義者勝，聞法不觀義者為不如也。	Those who examine the meaning of the Dharma they have heard are superior; those who do not examine the meaning of the Dharma they have heard are inferior.
謂聞法觀義人復有二種，有知法、知義、向法次法、隨順於法、如法行之； 有不知法、不知義、不向法次法、不隨順法、不如法行。	Of persons who examine the meaning of the Dharma they have heard there are again two types: those who know the Dharma, know its meaning, progress in the Dharma, follow the Dharma, conform to the Dharma, and practice in accordance with the Dharma; and those who do not know the Dharma, do not know its meaning, do not progress in the Dharma, do not follow the Dharma, do not conform to the Dharma, and do not practice in accordance with the Dharma.
若知法、知義、向法次法、隨順於法、如法行者勝；	Those who know the Dharma, know its meaning, progress in the Dharma, follow the Dharma, conform to the Dharma, and practice in accordance with the Dharma are superior.
不知法、不知義、不向法次法、不隨順法、不如法行者為不如也。	Those who do not know the Dharma, do not know its meaning, do not progress in the Dharma, do not follow the Dharma, do not conform to the Dharma, and do not practice in accordance with the Dharma are inferior.
謂知法、知義、向法次法、隨順於法、如法行人復有二種，有自饒益，亦饒益他，饒益多人，愍傷世間，為天、為人求義及饒益，求安隱快樂； 有不自饒益，亦不饒益他，不饒益多人，不愍傷世間，不為天、不為人求義及饒益，求安隱快樂。	Of persons who know the Dharma, know its meaning, progress in the Dharma, follow the Dharma, conform to the Dharma, and practice in accordance with the Dharma, there are again two types: there are those who benefit themselves and benefit others, who benefit many people, who have compassion for the world, seek advantage and benefit for gods and human beings, and seek their peace and happiness; and there are those who do not benefit themselves and do not benefit others, who do not benefit many people, who do not have compassion for the world, do not seek advantage and benefit for gods and human beings, and do not seek their peace and happiness.
若自饒益，亦饒益他，饒益多人，愍傷世間，為天、為人求義及饒益，求安隱快樂者，此人於彼人中為極第一，為大、為上、為最、為勝、為尊、為妙。	Those who benefit themselves and benefit others, who benefit many people, who have compassion for the world, seek advantage and benefit for gods and human beings, and seek their peace and happiness—this [type of] person is supreme among the [types of] person [mentioned above], the greatest, the highest, the best, the superior one, the most excellent one, the most sublime.
譬如因牛有乳，因乳有酪，因酪有生酥，因生酥有熟酥，因熟酥有酥精，酥精者，於彼中為極第一，為大、為上、為最、為勝、為尊、為妙，如是若人自饒益，亦饒益他，饒益多人，愍傷世間，為天、為人求義及饒益，求安隱快樂。	It is just as from a cow comes milk, from milk comes cream, from cream comes butter, from butter comes ghee, and from ghee comes cream of ghee; and among these cream of ghee is supreme, the greatest, the highest, the best, the superior one, the most excellent one, the most sublime.
此二人如上所說，如上分別，如上施設，此為第一，為大，為上、為最、為勝、為尊、為妙，是謂比丘知人勝如。」	In the same way, if persons benefit themselves and benefit others, benefit many people, have compassion for the world, seek advantage and benefit for gods and human beings, and seek their peace and happiness, then of the two [types of] person spoken of above, distinguished above, and designated above, this one is supreme, the greatest, the highest, the best, the superior one, the most excellent, the most sublime. This is [how] a monk knows persons according to their superiority.
佛說如是。	This is what the Buddha said.
彼諸比丘聞佛所說，歡喜奉行。	Having heard the Buddha’s words, the monks were delighted and remembered them well.

晝度樹經	The Discourse on the Coral Tree
我聞如是：一時，佛遊舍衛國，在勝林給孤獨園。	Thus have I heard: At one time the Buddha was staying at Sāvatthī, in Jeta’s Grove, Anāthapiṇḍika’s Park.
爾時，世尊告諸比丘：「若三十三天晝度樹葉萎黃，是時，三十三天悅樂歡喜，晝度樹葉不久當落。	At that time the World-honored One addressed the monks: When the leaves of the coral tree of the thirty-three gods become withered, the thirty-three gods are happy and rejoice, [saying]:
復次，三十三天晝度樹葉已落，是時，三十三天悅樂歡喜，晝度樹葉不久當還生。	The leaves of the coral tree will soon fall! Again, when the leaves of the coral tree of the thirty-three gods have fallen, the thirty-three gods are happy and rejoice:
復次，三十三天晝度樹葉已還生，是時，三十三天悅樂歡喜，晝度樹不久當生網。	The [new] leaves of the coral tree will soon appear! Again, when the [new] leaves of the coral tree of the thirty-three gods have appeared, the thirty-three gods are happy and rejoice:
復次，三十三天晝度樹已生網，是時，三十三天悅樂歡喜，晝度樹不久當生如鳥喙。	The coral tree will soon grow buds! Again, when the coral tree of the thirty-three gods has grown buds, the thirty-three gods are happy and rejoice:
復次，三十三天晝度樹已生如鳥喙，是時，三十三天悅樂歡喜，晝度樹不久當開如鉢。	The [buds of the] coral tree will soon resemble a bird’s beak! Again, when the [buds of the] coral tree of the thirty-three gods resemble a bird’s beak, the thirty-three gods are happy and rejoice:
復次，三十三天晝度樹已開如鉢，是時，三十三天悅樂歡喜，晝度樹不久當盡敷開。	The [buds of the] coral tree will soon open up and resemble bowls! Again, [when the buds of] the coral tree of the thirty-three gods have opened up and resemble bowls, the thirty-three gods are happy and rejoice:
若晝度樹已盡敷開，光所照、色所映、香所熏，周百由延，是時，三十三天於中夏四月，以天五欲功德具足而自娛樂，是謂三十三天於晝度樹下集會娛樂也。	The coral tree will soon be in full bloom! When the coral tree is in full bloom, the radiance it emits, the color it reflects, and the fragrance it emits spread a hundred leagues around. Then, for the four months of the summer season the thirty-three gods amuse themselves equipped with the five types of divine sense pleasure.
「如是義，聖弟子亦復爾，思念出家，是時聖弟子名為葉黃，猶三十三天晝度樹葉萎黃也。	This is [how] the thirty-three gods assemble and amuse themselves beneath their coral tree. It is just the same with the noble disciple. When thinking of leaving the household life, the noble disciple is reckoned as having withered leaves, like the withered leaves of the coral tree of the thirty-three gods.
復次，聖弟子剃除鬚髮，著袈裟衣，至信、捨家、無家、學道，是時聖弟子名為葉落，猶三十三天晝度樹葉落也。	Again, the noble disciple shaves off [his] hair and beard, dons the yellow robe, and, out of faith, leaves the household life, becomes homeless, and practices the path. At this time the noble disciple is reckoned as one whose leaves have fallen, like the falling of the leaves of the coral tree of the thirty-three gods.
復次，聖弟子離欲、離惡不善之法，有覺、有觀，離生喜樂，得初禪成就遊，是時，聖弟子名葉還生，猶三十三天晝度樹葉還生也。	Again, the noble disciple, separated from desires, separated from evil and unwholesome states, with initial and sustained application of the mind, with joy and happiness born of separation, dwells having attained the first absorption. At this time the noble disciple is reckoned as one whose new leaves have appeared, like the appearing of the new leaves on the coral tree of the thirty-three gods.
復次，聖弟子覺觀已息，內靜、一心，無覺無觀，定生喜樂，得第二禪成就遊，是時，聖弟子名為生網，猶三十三天晝度樹生網也。	Again, the noble disciple, through the calming of initial and sustained application of the mind, with inward stillness and mental one-pointedness, without initial and sustained application of the mind, with joy and happiness born of concentration, dwells having attained the second absorption. At this time the noble disciple is reckoned to have grown buds, like the growing of the buds on the coral tree of the thirty-three gods.
復次，聖弟子離於喜欲，捨無求遊，正念正智而身覺樂，謂聖所說、聖所捨、念、樂住、空，得第三禪成就遊，是時，聖弟子名生如鳥喙，猶三十三天晝度樹如鳥喙也。	Again, the noble disciple, separated from joy and desire, dwelling in equanimity and not seeking anything, with right mindfulness and right attentiveness, experiencing pleasure with the body, dwells having attained the third absorption, which the noble ones speak of as noble equanimity and mindfulness, a happy abode. At this time the noble disciple is reckoned to have grown [buds] resembling a bird’s beak, like the [buds] resembling a bird’s beak on the coral tree of the thirty-three gods.
復次，聖弟子樂滅、苦滅，喜憂本已滅，不苦不樂、捨、念、清淨，得第四禪成就遊，是時，聖弟子名生如鉢，猶三十三天晝度樹如鉢也。	Again, the noble disciple, with the cessation of pleasure and pain, and with the earlier cessation of joy and displeasure, with neither-pain-nor-pleasure, equanimity, mindfulness, and purity, dwells having attained the fourth absorption. At this time the noble disciple is reckoned to have grown [buds] resembling bowls, like the [buds] resembling bowls on the coral tree of the thirty-three gods.
復次，聖弟子諸漏已盡，心解脫、慧解脫，於現法中自知自覺，自作證成就遊，生已盡，梵行已立，所作已辦，不更受有，知如真，是時，聖弟子名盡敷開，猶三十三天晝度樹盡敷開也。	Again, the noble disciple destroys the taints, [attains] liberation of the mind, and liberation through wisdom, and in this very life, personally attains understanding and awakening, and dwells having personally realized. He knows as it really is: Birth is ended, the holy life has been established, what was to be done has been done. There will not be another existence. At this time the noble disciple is reckoned to be in full bloom, like the full blooming of the coral tree of the thirty-three gods. 
彼為漏盡阿羅訶比丘，三十三天集在善法正殿，咨嗟稱歎：	This monk is one whose taints are destroyed, an arahant. The thirty-three gods assemble in the Hall of the True Dharma and, sighing in admiration, praise him:
『某尊弟子於某村邑剃除鬚髮，著袈裟衣，至信、捨家、無家、學道，諸漏已盡，心解脫、慧解脫，於現法中自知自覺，自作證成就遊，生已盡，梵行已立，所作已辦，不更受有，知如真。』	Venerable disciple So-and-so, from such-and-such a village or town, having shaved off [his] hair and beard, donned the yellow robe, and having left the household life out of faith to become a homeless one, having practiced the path, he has destroyed the taints. He has [attained] liberation of the mind and liberation through wisdom, and in this very life [he has] personally attained understanding and awakening, and dwells having personally realized. He knows as it really is: Birth is ended, the holy life has been established, what was to be done has been done. There will not be another existence.
是謂漏盡阿羅訶共集會也，如三十三天晝度樹下共集會也。」	This is [how] an arahant, with taints destroyed, joins the community [of liberated ones], like the assembling of the thirty-three gods beneath their coral tree.
佛說如是。	This is what the Buddha said.
彼諸比丘聞佛所說，歡喜奉行。	Having heard the Buddha’s words, the monks were delighted and remembered them well.

城喻經	The Discourse with the Parable of the [Border] Town
我聞如是：一時，佛遊舍衛國，在勝林給孤獨園。	Thus have I heard: At one time the Buddha was staying at Sāvatthī, in Jeta’s Grove, Anāthapiṇḍika’s Park.
爾時，世尊告諸比丘：「如王邊城七事具足，四食豐饒，易不難得，是故王城不為外敵破，唯除內自壞。	At that time the World-honored One addressed the monks: If a king’s border town is equipped with seven things and obtains easily and without difficulty an abundance of four types of supplies, then this king’s [border] town will not be wiped out by outside enemies but only by internal self-destruction.
云何王城七事具足？	What are the seven things with which the king’s [border] town is equipped?
謂王邊城造立樓櫓，築地使堅，不可毀壞，為內安隱，制外怨敵，是謂王城一事具足。	In the king’s border town a watchtower has been constructed, built firmly in the earth, indestructible, to ensure peace within and to control outside enemies. This is the first thing with which the king’s [border] town is equipped.
復次，如王邊城掘鑿池壍，極使深廣，修備可依，為內安隱，制外怨敵，是謂王城二事具足。	Again, for the king’s border town a moat has been excavated, very deep and wide, well designed and reliable, to ensure peace within and to control outside enemies. This is the second thing with which the king’s [border] town is equipped.
復次，如王邊城周匝通道，開除平博，為內安隱，制外怨敵，是謂王城三事具足。	Again, the king’s border town is surrounded by a road that is open and clear, level and wide, to ensure peace within and to control outside enemies. This is the third thing with which the king’s [border] town is equipped.
復次，如王邊城集四種軍力，，為內安隱，制外怨敵，是謂王城四事具足。	Again, the king’s border town has raised an army with the four divisions—elephant troops, cavalry, chariot troops, and infantry—to ensure peace within and to control outside enemies. This is the fourth thing with which the king’s [border] town is equipped.
復次，如王邊城豫備軍器弓、矢、鉾、戟，為內安隱，制外怨敵，是謂王城五事具足。	Again, the king’s border town has been provided with weapons— bows and arrows, swords and spears—to ensure peace within and to control outside enemies. This is the fifth thing with which the king’s [border] town is equipped.
復次，如王邊城立守門大將，明略智辯，勇毅奇謀，善則聽入，不善則禁，為內安隱，制外怨敵，是謂王城六事具足。	Again, in the king’s border town a general has been appointed as gatekeeper, one who is sharp-witted and wise in making decisions, brave and resolute, of excellent counsel, who allows entry to the good and keeps out the bad, to ensure peace within and to control outside enemies. This is the sixth thing with which the king’s [border] town is equipped.
復次，如王邊城築立高墻，令極牢固，泥塗堊灑，為內安隱，制外怨敵，是謂王城七事具足也。	Again, for the king’s border town a high rampart has been constructed, extremely solid, plastered with mud and painted with whitewash, to ensure peace within and to control outside enemies. This is the seventh thing with which the king’s [border] town is equipped.
「云何王城四食豐饒，易不難得？	What are the four kinds of supplies that the king’s [border] town obtains in abundance, easily and without difficulty?
謂王邊城水草樵木，資有豫備，為內安隱，制外怨敵，是謂王城一食豐饒，易不難得。	The king’s border town has been provided with plentiful quantities of water, grass, and firewood, to ensure peace within and to control outside enemies. This is the first kind of supplies that the king’s [border] town obtains in abundance, easily and without difficulty.
復次，如王邊城多收稻穀及儲畜麥，為內安隱，制外怨敵，是謂王城二食豐饒，易不難得。	Again, the king’s border town has harvested plenty of rice and stored up plenty of wheat, to ensure peace within and to control outside enemies. This is the second kind of supplies that the king’s [border] town obtains in abundance, easily and without difficulty.
復次，如王邊城多積秥豆及大小豆，為內安隱，制外怨敵，是謂王城三食豐饒，易不難得。	Again, the king’s border town has amassed plenty of grain and beans of various sorts, to ensure peace within and control outside enemies. This is the third kind of supplies that the king’s [border] town obtains in abundance, easily and without difficulty.
復次，如王邊城畜酥油、蜜及甘蔗、餹、魚、鹽、脯肉，一切具足，為內安隱，制外怨敵，是謂王城四食豐饒，易不難得。	Again, the king’s border town has stored up ghee, honey, sugarcane, sugar, fish, salt, and dried meat, is equipped with all of these, to ensure peace within and to control outside enemies. This is the fourth kind of supplies that the king’s [border] town obtains in abundance, easily and without difficulty.
如是王城七事具足，四食豐饒，易不難得，不為外敵破，唯除內自壞。	Such a king’s [border] town, equipped with [these] seven things and having obtained easily and without difficulty an abundance of [these] four kinds of supplies, will not be wiped out by outside enemies but only by internal selfdestruction.
如是，若聖弟子亦得七善法，逮四增上心，易不難得， 是故聖弟子不為魔王之所得便，亦不隨惡不善之法，不為染污所染，不復更受生也。	In the same way, if a noble disciple gains seven wholesome qualities and attains four higher states of mind easily and without difficulty, then for this reason the noble disciple will be beyond the reach of King Māra, will not be influenced by evil and unwholesome states, will not be defiled by defilements, and will not be born again.
云何聖弟子得七善法？	How does a noble disciple gain seven wholesome qualities?
謂聖弟子得堅固信，深著如來，信根已立，終不隨外沙門、梵志，若天、魔、梵及餘世間，是謂聖弟子得一善法。	A noble disciple gains firm faith that is deeply settled in the Tathāgata, faith with firm roots that cannot be influenced by non-Buddhist renunciants or brahmins, or by gods, Māras, Brahmās, or anyone else in the world. This is how the noble disciple gains the first wholesome quality.
復次，聖弟子常行慚耻，可慚知慚，惡不善法穢汙煩惱，受諸惡報，造生死本，是謂聖弟子得二善法。	Again, the noble disciple has at all times a sense of shame. What is shameful he knows as shameful, [namely,] evil and unwholesome states, which pollute and defile, which have various evil consequences and create the root cause of birth and death. This is how the noble disciple gains the second wholesome quality.
復次，聖弟子常行羞愧，可愧知愧，惡不善法穢汙煩惱，受諸惡報，造生死本，是謂聖弟子得三善法。	Again, the noble disciple continuously fears wrongdoing. What is wrong he knows as wrong, [namely,] evil and unwholesome states, which pollute and defile, which will have various evil consequences and create the root cause of birth and death. This is how the noble disciple gains the third wholesome quality.
復次，聖弟子常行精進，斷惡不善，修諸善法，恒自起意，專一堅固，為諸善本，不捨方便，是謂聖弟子得四善法。	Again, the noble disciple continuously applies effort, cutting off what is evil and unwholesome and cultivating wholesome states. He constantly arouses his mind, is single-minded and steadfast regarding the roots of wholesomeness, without giving up his task. This is how the noble disciple gains the fourth wholesome quality.
復次，聖弟子廣學多聞，守持不忘，積聚博聞，所謂法者，初善、中善、竟亦善，有義有文，具足清淨，顯現梵行，如是諸法廣學多聞，翫習至千，意所惟觀，明見深達，是謂聖弟子得五善法。	Again, the noble disciple studies widely and learns much, retaining and not forgetting it, accumulating broad learning of what is called the Dharma, which is good in the beginning, good in the middle, and good in the end, which has [proper] meaning and expression, is endowed with purity, and reveals the holy life. In this way he studies widely and learns much regarding all the teachings, familiarizing himself with them even a thousand times, considering and contemplating them with knowledge, vision, and profound penetration. This is how the noble disciple gains the fifth wholesome quality.
復次，聖弟子常行於念，成就正念，久所曾習，久所曾聞，恒憶不忘，是謂聖弟子得六善法。	Again, the noble disciple continuously practices mindfulness, achieves right mindfulness, always recalling and not forgetting what was done or heard long ago. This is how the noble disciple gains the sixth wholesome quality.
復次，聖弟子修行智慧，觀興衰法，得如此智，聖慧明達，分別曉了，以正盡苦，是謂聖弟子得七善法也。	Again, the noble disciple develops comprehension and wisdom, attains understanding concerning the rise and fall of phenomena, attains noble penetrative knowledge and discriminative understanding concerning the true cessation of suffering. This is how the noble disciple gains the seventh wholesome quality.
云何聖弟子逮四增上心，易不難得？	How does the noble disciple attain four higher states of mind, easily and without difficulty?
謂聖弟子離欲、離惡不善之法，有覺、有觀，離生喜樂，逮初禪成就遊，是謂聖弟子逮初增上心，易不難得。	Separated from desires, separated from evil and unwholesome states, with initial and sustained application of the mind, with joy and happiness born of separation, the noble disciple dwells having attained the first absorption. This is how the noble disciple attains the first higher state of mind, easily and without difficulty.
復次，聖弟子覺、觀已息，內靜、一心，無覺、無觀，定生喜樂，逮第二禪成就遊，是謂聖弟子逮第二增上心，易不難得。	Again, through the calming of initial and sustained application of the mind, with inward stillness and mental one-pointedness, without initial and sustained application of the mind, with joy and happiness born of concentration, the noble disciple dwells having attained the second absorption.This is how the noble disciple attains the second higher state of mind, easily and without difficulty. 
復次，聖弟子離於喜欲，捨無求遊，正念正智而身覺樂，謂聖所說、聖所捨、念、樂住、空，逮第三禪成就遊，是謂聖弟子逮第三增上心，易不難得。	Again, separated from joy and desire, dwelling in equanimity and not seeking anything, with right mindfulness and right attentiveness, experiencing pleasure with the body, the noble disciple dwells having attained the third absorption, which the noble ones speak of as noble equanimity and mindfulness, a happy abode. This is how the noble disciple attains the third higher state of mind, easily and without difficulty.
復次，聖弟子樂滅、苦滅，喜憂本已滅，不苦不樂、捨、念、清淨，逮第四禪成就遊，是謂聖弟子逮第四增上心，易不難得。	Again, with the cessation of pleasure and pain, and with the earlier cessation of joy and displeasure, with neither-pain-nor-pleasure, equanimity, mindfulness, and purity, the noble disciple dwells having attained the fourth absorption. This is how the noble disciple attains the fourth higher state of mind, easily and without difficulty.
如是，聖弟子得七善法，逮四增上心，易不難得， 不為魔王之所得便，亦不隨惡不善之法，不為染污所染，不復更受生。	In this way the noble disciple, who has gained seven wholesome qualities and attained four higher states of mind, easily and without difficulty, is beyond the reach of King Māra, and will not be influenced by evil and unwholesome states, will not be defiled by defilements and will not be born again.
如王邊城造立樓櫓，築地使堅，不可毀壞，為內安隱，制外怨敵。 如是，聖弟子得堅固信，深著如來，信根已立，終不隨外沙門，梵志，若天、魔、梵及餘世間，是謂聖弟子得信樓櫓，除惡不善，修諸善法也。	Just as a watchtower is constructed in the king’s border town, built firmly in the earth, indestructible, to ensure peace within and to control outside enemies—in the same way, the noble disciple gains firm faith that is deeply settled in the Tathāgata, faith with firm roots that cannot be influenced by non-Buddhist renunciants or brahmins, or by gods, Māras, Brahmās, or anyone else in the world. This is how the noble disciple gains the watchtower of faith, which removes what is evil and unwholesome and develops wholesome states.
如王邊城掘鑿池塹，極使深廣，修備可依，為內安隱，制外怨敵。如是，聖弟子常行慚耻，可慚知慚，惡不善法穢汙煩惱，受諸惡報，造生死本，是謂聖弟子得慚池塹，除惡不善，修諸善法也。	Just as a moat is excavated [around] the king’s border town, very deep and wide, well designed and reliable, to ensure peace within and to control outside enemies; in the same way, the noble disciple has at all times a sense of shame. What is shameful he knows as shameful, [namely] evil and unwholesome states, which pollute and defile, which have various evil consequences, and create the root cause of birth and death. This is how the noble disciple gains the moat of a sense of shame, which removes what is evil and unwholesome and develops wholesome states.
如王邊城周匝通道，開除平博，為內安隱，制外怨敵。如是，聖弟子常行羞愧，可愧知愧，惡不善法穢污煩惱，受諸惡報，造生死本，是謂聖弟子得愧平道，除惡不善，修諸善法也。	Just as a road surrounds the king’s border town, open and clear, level and wide, to ensure peace within and control outside enemies. In the same way, the noble disciple at all times fears wrongdoing. What is wrong he knows as wrong, [namely] evil and unwholesome states, which pollute and defile, which will have various evil consequences, which create the root cause of birth and death. This is how the noble disciple gains the level road of the fear of wrongdoing, which removes what is evil and unwholesome and develops wholesome states.
