大般涅槃經卷第一北涼天竺三藏曇無讖譯壽命品第
一如是我聞：	Thus have I heard.
互相執手復作是言：「世間空虛，眾生福盡，不善諸業，增長出世。	They joined hands and exclaimed: The world will become empty, living beings will find their blessings depleted and impure karma will only increase.
仁等今當速往速往，如來不久必入涅槃。」	Everyone, let us go quickly, quickly! The Tathagata will surely enter nirvana before long.
復作是言：「世間空虛，世間空虛，我等從今無有救護，無所宗仰，貧窮孤露。	 They said this as well: The world is empty, the world is empty! From now on we will have no one to rescue us, no one to honor. We will be destitute and defenseless.
一旦遠離無上世尊，設有疑惑當復問誰？」	Once the peerless World-Honored One is gone, to whom will we direct our questions should doubts arise?
時有無量諸大弟子，尊者摩訶迦旃延、尊者薄俱羅、尊者優波難陀，如是等諸大比丘，遇佛光者，其身戰掉，乃至大動不能自持，心濁迷悶，發聲大喚，生如是等種種苦惱。	At that time there were innumerable great disciples [of the Buddha] present, including Venerable Mahakatyana, Venerable Vakkula, and Venerable Upananda. When they encountered the radiance of the Buddha, the bodies of these great bhiksus began to quiver until they were seized by an uncontrollable shaking. Their minds grew turbid, they became disoriented, and they raised their voices in a loud cry. They were stricken with a variety of troubles like this.
爾時復有八十百千諸比丘等，皆阿羅漢，心得自在，所作已辦，離諸煩惱，調伏諸根，如大龍王有大威德，	At the time eight million monks were also assembled, and all were arhats. Their minds were freed, their tasks were accomplished, they were free of the defilements, and they had tamed their cognitive senses. Like the great dragon kings, they possessed great spiritual power.
成就空慧，逮得己利，如栴檀林栴檀圍遶，如師子王師子圍遶，成就如是無量功德，一切皆是佛之真子。	Accomplished in the wisdom of emptiness (sunyata), what they had gained personally was akin to a sandalwood grove with rows of sandalwood trees in every direction; they were like lion kings surrounded by prides of lions. Thus it can be said that these monks had achieved an incalculable amount of merit and virtue, and every one of them was a true child of the Buddha.
於其晨朝，日始初出，離常住處，嚼楊枝時，遇佛光明，并相謂言：「仁等，速疾漱口澡手。」	As the sun began to rise in the early morning sky, the monks emerged from their lodgings and were cleaning their teeth when they came upon the Buddha's light. They said to each other, Quickly, rinse your mouths and wash your hands!
作是言已，舉身毛竪，遍體血現如波羅奢花，涕泣盈目生大苦惱。	After this exchange, their hair stood on end all over their bodies, and their blood flowed so strongly that they looked like the [scarlet] palasa flower. Tears filled their eyes and they felt great discomfort.
為欲利益安樂眾生，成就大乘第一空行，顯發如來方便密教，為不斷絕種種說法，為諸眾生調伏因緣故，疾至佛所稽首佛足，繞百千匝，合掌恭敬，却坐一面。	Wanting to give blessings and peace of mind to living beings, to accomplish the primary Mahayana practice of emptiness, to reveal the recondite teaching that is the Tathagata's skillful means, to prevent the extinction of his sermons, and to provide causes and conditions for living beings to discipline themselves, the monks rushed to where the Buddha was and bowed down at his feet. Circumambulating him one hundred thousand times, they then placed their palms together in reverence, withdrew, and sat at one side.
爾時復有拘陀羅女、善賢比丘尼、優波難陀比丘尼、海意比丘尼，與六十億比丘尼等，一切亦是大阿羅漢，諸漏已盡，心得自在，所作已辦，離諸煩惱，調伏諸根，猶如大龍有大威德，成就空慧。	At that time from among the Kudala women, Subhadra, Upananda, Sagaramati, and six billion other nuns were present. All of them were also great arhats: their contaminants were exhausted, their minds were freed, their tasks were accomplished, they were free of the defilements, and they had tamed their cognitive senses. They were like huge dragons in possessing great spiritual power, and were accomplished in the wisdom of emptiness.
亦於晨朝，日初出時，舉身毛竪，遍體血現如波羅奢花，涕泣盈目生大苦惱。	Just like [the monks], when the sun began to rise in the early morning, the hair of these nuns stood on end all over their bodies and their blood flowed so strongly that they looked like the palasa flower. Tears filled their eyes and they felt great discomfort.
亦欲利益安樂眾生，成就大乘第一空行，顯發如來方便密教，為不斷絕種種說法，為諸眾生調伏因緣故，疾至佛所稽首佛足，遶百千匝，合掌恭敬，却坐一面。	Wanting to give blessings and peace of mind to living beings, to accomplish the primary Mahayana practice of emptiness, to reveal the hidden teaching that is the Tathagata's skillful means, to prevent the extinction of his sermons, and to provide causes and conditions for living beings to discipline themselves, they rushed to where the Buddha was and bowed down at his feet. Circumambulating him one hundred thousand times, they then placed their palms together in reverence, withdrew, and sat at one side.
於比丘尼眾中復有諸比丘尼，皆是菩薩，人中之龍，位階十地安住不動，為化眾生現受女身，而常修集四無量心，得自在力，能化作佛。	In this gathering of nuns, they were all bodhisattvas, dragons among the people, for in rank they were firmly settled within the ten stages (dasabhumi) from which they could not be moved. Having taken on female bodies in order to spiritually transform living beings, they were constantly cultivating the four immeasurable minds and had attained positions where b they were freely able to attain buddhahood.
爾時復有一恒河沙菩薩摩訶薩，人中之龍，位階十地安住不動，方便現身。	Also at that time there were bodhisattva-mahasattvas as numerous as grains of sand in the Ganges River. They, too, were dragons among the people, and in rank they were firmly settled within the ten stages from which they could not be moved.
其名曰：海德菩薩、無盡意菩薩，如是等菩薩摩訶薩而為上首。	Through their power of using expedient means, they manifested themselves in their present bodies with names such as the bodhisattva Oceanlike Virtue (Samudradatta) and the bodhisattva Imperishable Resolve. Such bodhisattva-mahasattvas as these led this group. Their thoughts were filled with reverence for the Mahayana:
其心皆悉敬重大乘，安住大乘，深解大乘，愛樂大乘，守護大乘，善能隨順一切世間，作是誓言：「諸未度者，當令得度。」	they were firmly settled in the Mahayana, they deeply appreciated the Mahayana, they longed for the Mahayana, and they were unwaveringly devoted to the Mahayana. In skillfully adapting to the ways of the whole world, each made the following pledge: I will enable all those who have not yet reached the other shore to do so.
已於過世無數劫中，修持淨戒，善持所行，解未解者，紹三寶種使不斷絕，於未來世當轉法輪，以大莊嚴而自莊嚴，成就如是無量功德，等觀眾生如視一子。	Throughout innumerable past kalpas, I have upheld the pure precepts, maintained well the practices, and liberated those who had not yet been liberated, [thereby] binding together the Three Jewels to prevent their dissolution. In the future I shall turn the wheel of the dharma, enhance it myself with great adornments, achieving innumerable merits. I will look upon all living beings equally, regarding them all as if they were my only child.
亦於晨朝，日初出時遇佛光明，舉身毛竪，遍體血現如波羅奢花，涕泣盈目生大苦惱。	When the sun began to rise early in the morning on that day, they likewise encountered the Buddha's radiance. Their hair stood on end all over their bodies, and their blood flowed so strongly that they looked like the palasa flower. Tears filled their eyes and they felt great discomfort.
亦為利益安樂眾生，成就大乘第一空行，顯發如來方便密教，為不斷絕種種說法，為諸眾生調伏因緣故，疾至佛所稽首佛足，繞百千匝，合掌恭敬，却坐一面。	Wanting to give benefits and peace of mind to living beings, to accomplish the primary Mahayana practice of emptiness, to reveal the hidden teaching that is the Tathagata's skillful means, to prevent the extinction of his sermons, and to provide causes and conditions for living beings to discipline themselves, they rushed to where the Buddha was and bowed down at his feet. Circumambulating him one hundred thousand times, they then placed their palms together in reverence, withdrew, and sat at one side. At that time male lay followers (upasakas) as numerous as the sands of two Ganges Rivers were also present. They upheld the five precepts (pancasila) and their conduct was impeccable.
爾時復有二恒河沙諸優婆塞，受持五戒，威儀具足，其名曰：威德無垢稱王優婆塞、善德優婆塞等而為上首，深樂觀察諸對治門，所謂苦樂、常無常、淨不淨、我無我、實不實、歸依非歸依、眾生非眾生、恒非恒、安非安、為無為、斷不斷、涅槃非涅槃、增上非增上，常樂觀察如是等法對治之門，亦欲樂聞無上大乘，如所聞已，能為他說。	Among them were the upasaka King Tejovimalakirti and the upasaka Pradanasara, who served as leaders. They came with keen anticipation to observe methods that would serve to resolve problems for them. That is, they were concerned about pleasure and pain, permanence and impermanence, purity and impurity, self and nons elf, real and unreal, taking refuge and not taking refuge, living beings and nonliving beings, eternal and noneternal, calmed and not calmed, created and uncreated, relinquished and not relinquished, nirvana and nonnirvana, and superlative and nonsuperlative. They constantly sought to observe the gate containing the curative effect of dharmas like these, and they wanted to partake in hearing the unsurpassed Mahayana and to be able to explain what they had heard to others.
善持淨戒，渴仰大乘，既自充足，復能充足餘渴仰者。	They skillfully kept the pure precepts and were exhilarated by the Mahayana. Having achieved satisfaction themselves, they sought to satisfy the aspirations of others in this way as well.
善能攝取無上智慧，愛樂大乘，守護大乘。	They were proficient in encompassing the unsurpassed spiritual wisdom of prajna.
善能隨順一切世間，度未度者，解未解者。	They longed for the Mahayana, were unwaveringly devoted to the Mahayana, and skillfully adapted to the ways of the whole world in ferrying over those who had not yet reached the other shore, liberating those who had not yet been liberated, and binding together the Three Jewels to prevent their dissolution.
紹三寶種使不斷絕，於未來世當轉法輪，以大莊嚴而自莊嚴，心常深味清淨戒行，悉能成就如是功德，於諸眾生生大悲心，平等無二如視一子。	In the future they will tum the wheel of the dharma and enhance it themselves with great adornments. They will always be deeply absorbed in savoring the moral practice of the pure precepts, and they will all achieve merit in this way. Their thoughts will be filled with great compassion toward all living beings equally and without discrimination, regarding them as one would look upon one's only child.
亦於晨朝日初出時，為欲闍毘如來身故，人人各取香木萬束、栴檀沈水、牛頭栴檀、天木香等，是一一木，文理及附，皆有七寶微妙光明，譬如種種雜彩畫飾，以佛力故有是妙色，青黃赤白，為諸眾生之所樂見。	When the sun began to rise in the early morning, each person gathered bundles of fragrant woods, such as brown sandalwood, agarwood, oxhead sandalwood, and other natural woods and fragrances, for the cremation of the Tathagata's body. The carvings, rough and fine, as well as the natural bark of the wood, all shone with the wondrous light of seven jewels. By the power of the Buddha, they were like an array of multicolored paintings that held an array of marvelous colors in blues, yellows, reds, and whites, to the visual delight of living beings.
諸木皆以種種香塗，欝金沈水及膠香等，散以諸花而為莊嚴，優鉢羅花、拘物頭花、波頭摩花、分陀利花。	The pieces of wood all had various fragrant coatings of saffron, aloe, sal resin, and so forth. Flowers were strewn to adorn [this collection], including the utpala (blue lotus), kumuda (yellow lotus), padma (red lotus), and pundarika (white lotus).
諸香木上懸五色幡，柔軟微妙猶如天衣，憍奢耶衣芻摩繒綵。	And above these fragrant woods were hung five-colored banderoles made of a soft, sheer fabric like that used by the gods, kauseya silk, or multicolor brocades woven with linen.
是諸香木載以寶車，是諸寶車出種種光，青黃赤白。	The fragrant wood was placed on jeweled carts that gave off either blue, yellow, red, or white light.
轅[車鬲]皆以七寶廁填，是一一車駕以四馬，是一一馬駿疾如風。	The wheel shafts were all inlaid with seven jewels as well; each cart had four horses attached t o it, and each o f these horses ran a s fast as the wind.
一一車前竪立五十七寶妙幢，真金羅網彌覆其上，	On the front of each cart were erected fifty-seven jeweled banderoles with nets woven of pure gold thrown over them.
一一寶車復有五十微妙寶蓋，一一車上垂諸花鬘，優鉢羅花、拘物頭花、波頭摩花、分陀利花，其花純以真金為葉，金剛為臺。	Each jeweled cart also had fifty lovely jeweled umbrellas, and from the top of each cart were hung flowered garlands of blue, yellow, red, and white lotus blossoms. These flowers were uniformly made up of pure gold leaves and diamond calyxes, and numerous black bees frolicked among these calyxes, amusing themselves.
是花臺中多有黑蜂，遊集其中歡娛受樂，又出妙音，所謂無常、苦、空、無我，是音聲中，復說菩薩本所行道。	In the process, the bees emitted a wonderful sound that intoned [the teachings of] impermanence, suffering, emptiness, and nonself, and the sound also expounded events from past [lives] in the career of the Bodhisattva.
復有種種歌舞伎樂、箏笛、箜篌、簫瑟、鼓吹，是樂音中復出是言：「苦哉，苦哉，世間空虛。」	In addition there was an assortment of song and dance performances and the playing of zithers, bamboo flutes, horizontal harps, bamboo panpipes, grand zithers, hand drums, and wind instruments. Included within this music were the words Dreadful, positively dreadful! The world is hollow.
一一車前，有優婆塞擎四寶案，是諸案上有種種花，優鉢羅花、拘物頭花、波頭摩花、分陀利花，欝金諸香及餘薰香，微妙第一。	 Before each cart lay followers held up four jeweled stands, all of which were covered with blue, yellow, red, and white lotus blossoms, as well as saffron and other perfumes, ideal in their subtle fragrance.
諸優婆塞為佛及僧，辦諸食具，種種備足，皆是栴檀沈水香薪，八功德水之所成熟，其食甘美有六種味：一苦、二醋、三甘、四辛、五醎、六淡。	These laymen took care of all necessary arrangements to provide meals for the Buddha and the sangha. All used fragrant sandalwood and agarwood for fuel and cooked with water that had each of the eight ideal qualities. The food was delicious, containing the six flavors of bitter, sour, sweet, spicy, salty, and plain.
復有三德：一者輕軟、二者淨潔、三者如法，作如是等種種莊嚴。	 The food also had three other qualities: it was tender, it was pure, and it accorded with the dharma.
至力士生處娑羅雙樹間，復以金沙遍布其地，以加陵伽衣、欽婆羅衣及繒綵衣而覆沙上，周匝遍滿十二由旬。	Having put together these various adornments, the laymen arrived at a grove of sal trees in the land of the Malla clan. There they went on to spread gold dust on the ground, and then covered the gold dust with cloth made of kalinga yarn, kambala yarn, and yarn-dyed silks. The area covered in this way reached fully twelve yojanas in size.
為佛及僧敷置七寶師子之座，其座高大如須彌山，是諸座上皆有寶帳，垂諸瓔珞。	There they constructed seven-jeweled lion seats for the Buddha and the sangha. These seats towered in the air like Mount Sumeru and were decorated by hanging jeweled curtains on all sides.
諸娑羅樹，悉懸種種微妙幡蓋，種種好香以塗樹身，種種名花以散樹間。	And from the many sal trees were also hung an assortment of fabulous banderoles and coverings. A variety of fragrant scents were smeared on the trunks of those trees and brightly colored flowers strewn on the ground between them.
諸優婆塞各作是念：「一切眾生若有所乏，須食與食、須飲與飲、須頭與頭、須目與目，隨諸眾生所須之物，皆悉給與。」	Each of the upasakas present had these thoughts : If there are any among these living beings who are impoverished, I can help them. To those who seek food I shall give them food, to those who seek drink I shall give them drink, to those who seek [the ability to use their] heads I shall give them [intelligence in their] heads, to those who seek [the ability to use their] eyes I shall give them [insight through their] eyes. Whatever these living beings need shall be provided.
作是施時，離欲瞋恚、穢濁毒心，無餘思惟求世福樂，唯期無上清淨菩提。	For when I give in this way I free myself from any defiled, poisonous thoughts of greed or enmity. Any lingering thoughts of mine that yearn for worldly happiness or personal comfort disappear, and I am left with naught but an expectation of pure bodhi (religious awakening).
是優婆塞等，皆已安住於菩薩道，復作是念：「如來今者受我食已，當入涅槃。」	All these male lay followers were well established in the bodhisattva path. Then they thought, After the Tathagata accepts our meal, he will enter nirvana. But upon thinking this, their hair stood on end all over their bodies and their blood flowed so strongly they looked like palasa flowers. Tears filled their eyes and they became very upset. Now each of these people carried the materials for their offerings. On jeweled carts they loaded fragrant woods, banderoles, banners, jeweled umbrellas, and food and drink.
作是念已，身毛皆竪，遍體血現如波羅奢花，涕泣盈目生大苦惱，各各齎持供養之具，載以寶車、香木、幢幡、寶蓋、飲食，疾至佛所稽首佛足，以其所持供養之具，供養如來，遶百千匝，舉聲號泣，哀動天地，	They then hurried to where the Buddha was and bowed down at his feet. With the preparations they had brought, they thereupon made formal offerings to the Tathagata and made circumambulations around him one hundred thousand times, raising their voices in such a sorrowful wail that heaven and earth were moved.
搥胸大叫，淚下如雨，復相謂言：「苦哉，仁者！世間空虛，世間空虛。」	They pounded their chests, letting out a roar, their tears falling like rain. And they said to each other, Listen, this is dreadful! The world is hollow, the world is hollow!
便自舉身，投如來前，而白佛言：「唯願如來，哀受我等最後供養。 」世尊知時默然不受。	They then threw themselves before the Tathagata, and blurted out: All we ask, Tathagata, is that you have pity on us and accept our final offerings. The World-Honored One, understanding the occasion, remained silent and did not accept their offerings.
如是三請，悉皆不許。	They beseeched him in the same way three times, but each time they were all refused.
諸優婆塞不果所願，心懷悲惱，默然而住。	Their wishes unfulfilled, the laymen felt dejected and anxious, remaining in silence.
猶如慈父唯有一子，卒病喪亡，送其屍骸置於塚間，歸還悵悢，愁憂苦惱。	It was as if a loving father had only one child who suddenly fell ill and died, and after the remains were buried, that father returned home in disappointment, grief, and pain.
諸優婆塞憂愁苦惱亦復如是，以諸供具安置一處，却在一面，默然而坐。	The male lay followers were grieved and upset in much the same way. They then took what they had brought and put it all in one place, withdrew, sat off to one side in silence.
爾時復有三恒河沙諸優婆夷，受持五戒，威儀具足。	At that time there were also female lay followers (upasikas), present in numbers that totaled the sands of three Ganges Rivers. They upheld the five precepts and their conduct was impeccable.
其名曰：壽德優婆夷、德鬘優婆夷、毘舍佉優婆夷等八萬四千，而為上首。	The female lay followers Dignity of Life, Garland of Dignity, and Visakha were the leaders among their group of eighty-four thousand, all of whom capably maintained the true-dharma (saddharma) with tenacity.
悉能堪任護持正法，為度無量百千眾生故，現女身呵責家法。	In order to lead innumerable hundreds of thousands of living beings to the other shore they manifested themselves in female bodies, yet they disparaged the domestic dharma [pertaining to women ]. They meditated on their own bodies as four poisonous snakes, contemplating in this manner:
自觀己身如四毒蛇，是身常為無量諸虫之所唼食，是身臭穢、貪欲、獄縛，是身可惡猶如死狗，是身不淨九孔常流。	This body is being constantly nibbled at by innumerable small organisms. This body is foul smelling and unclean, shackled in a prison of greed. This b body is as loathsome as a dead dog.
是身如城，血肉筋骨皮裹其上，手足以為却敵樓櫓，目為竅孔，頭為殿堂，心王處中，	This body is impure with its nine holes from which matter continuously flows. This body is like a walled city in which blood, muscle, tendon, bone, and skin form its outer surface, in which hands and legs form its defense towers, in which the eyes are its windows, the head its palace with its mind king dwelling within.
如是身城，諸佛世尊之所棄捨，凡夫愚人常所味著，貪婬、瞋恚、愚癡、羅剎止住其中。	A bodycity like this is precisely what the buddhas, the world-honored ones, have abandoned and in what ordinary ignorant people always indulge themselves, where demons of craving, anger, and delusion reside.
是身不堅，猶如蘆葦、伊蘭、水泡、芭蕉之樹。	This body is not solid, much like marsh reeds, the castor oil plant, water bubbles, or the banana tree.
是身無常，念念不住，猶如電光、暴水、幻炎，亦如畫水，隨畫隨合。	This body is impermanent: from one thought to the next, nothing is ever settled. It is like lightning, flooding water, or an illusory heat shimmer. It is like painting something on water: no sooner has the form been inscribed by the brush than it is absorbed by the water.
是身易壞，猶如河岸臨峻大樹。	This body disintegrates easily, like a towering tree on the steep bank of a river.
是身不久當為狐狼、鵄梟、鵰鷲、烏鵲、餓狗，之所食噉。	This body will not last long; soon it will be devoured by foxes, wolves, kites, eagles, owls, crows, magpies, or hungry dogs.
誰有智者，當樂此身？	What intelligent person would take delight in the body?
寧以牛跡盛大海水，不能具說是身無常、不淨、臭穢。	It would be easier to put the waters of an ocean into the footprint of an ox than to fully explain how impermanent, impure, and odious this body is.
寧丸大地使如棗等，漸漸轉小猶葶藶子乃至微塵，不能具說是身過患。	It would be easier to roll up the earth into the size of a date, or to continue rolling it more and more until it is reduced to the size of a mustard seed, than to try and explain everything about the faults of this body.
是故當捨，如棄涕唾。	Therefore it is to be dispensed with, as one would expectorate saliva.
以是因緣，諸優婆夷，以空、無相、無願之法，常修其心。	With this reasoning these upasikas were continuously engaged in cultivating their thinking on the teachings of emptiness, signlessness, and wishlessness.
深樂諮受大乘經典，聞已亦能為他演說，護持本願，毀呰女身，甚可患厭，性不堅牢，心常修集如是正觀，破壞生死無際輪轉。	They deeply sought to delve into the Mahayana scriptures, and after hearing them they would expound them for others. They kept their vows and disdained their female bodies, regarding them as loathsome and their gender as insubstantial. Mentally they were always focused on proper contemplations like this, [seeking to] destroy their endless transmigration through samsara.
渴仰大乘，既自充足，復能充足餘渴仰者。	They were intoxicated with the Mahayana, and as they drew from it to satisfy their own thirst they also satisfied the thirst of others. For they held a deep longing for the Mahayana and were unwaveringly devoted to it.
深樂大乘，守護大乘，雖現女身，實是菩薩，善能隨順一切世間，度未度者，解未解者，紹三寶種使不斷絕，於未來世當轉法輪，以大莊嚴而自莊嚴，堅持禁戒，皆悉成就如是功德，於諸眾生生大悲心，平等無二，如視一子。	Although presently in female bodies, in fact they were bodhisattvas who skillfully adapted to the ways of the whole world in ferrying over those who had not yet reached the other shore. They bound together the Three Jewels to prevent their dissolution and in the future they will tum the wheel of the dharma and enhance it themselves with marvelous adornments, rigorously keeping the precepts. All of them will achieve merit in this way, bringing forth a mind of great compassion toward all living beings equally and without discrimination, looking upon each of them as one would look upon her only child.
亦於晨朝，日初出時各相謂言：「今日宜應至雙樹間。」	When the sun began to rise in the early morning, they spoke to each other, saying, Today we should go to the sal grove. Offerings were prepared by these female followers and brought to where the Buddha was.
諸優婆夷所設供具，倍勝於前，持至佛所，稽首佛足，遶百千匝，而白佛言：「世尊！	They bowed down at the Buddha's feet, circumambulated him one hundred thousand times, and then said to him:
我等今者，為佛及僧辦諸供具，唯願如來，哀受我供。」	World-Honored One, we have prepared these offerings for the Buddha and for the sangha. All we ask, Tathagata, is that you take pity upon us and accept our donations.
如來默然而不許可。	But the Tathagata remained silent and did not give his permission.
諸優婆夷不果所願，心懷惆悵，却坐一面。	Their wishes unfulfilled, all the female lay followers felt sad and disappointed. They withdrew and sat off to one side. On that occasion the Licchavi people from the city of Vaisali were also present.
爾時復有四恒河沙毘耶離城諸離車等，男女、大小、妻子眷屬，及閻浮提諸王眷屬，	 They numbered as many as the grains of sand in four Ganges Rivers. There were men, women, boys, girls, and mothers with children together with their families, as well as various rulers with their kinsmen from throughout the Jambudvipa continent.
為求法故，善修戒行，威儀具足，摧伏異學壞正法者，常相謂言：「我等當以金銀倉庫，為令甘露、無盡正法、深奧之藏久住於世。	 Because they sought the dharma, they properly cultivated the precepts and practices [taught by the Buddha] and were thus endowed with a dignified bearing that discouraged those from other schools of thought who denigrate the true-dharma. These people often said to each other: We should take our stores of gold and silver and use them to ensure that the profound treasury of the sweet, inexhaustible true-dharma remains in this world long into the future.
願令我等常得修學，若有誹謗佛正法者，當斷其舌。」	We hope we will always be able to practice and study [the dharma]. If anyone maligns the true-dharma of the Buddha, we shall cut off his tongue. They also made this vow:
復作是願：「若有出家毀禁戒者，我當罷令還俗策使。	If any monastic violates the precepts, we will detain that person, return him to lay status, and put him to work.
有能深樂、護持正法，我當敬重如事父母。	If there are those who deeply rejoice in and protect the true-dharma, we will respect them deeply just as we respect our fathers and mothers.
若有眾僧能修正法，我當隨喜令得勢力。」	If there are any monastics that are able to practice the true-dharma, we will celebrate them to give them strength.
常欲樂聞大乘經典，聞已亦能為人廣說，皆悉成就如是功德。	Since they were ever eager to listen with rapt attention to Mahayana scriptures and, after doing so, then worked to spread these teachings to others, each of them succeeded in accomplishing merit in this way.
其名曰：淨無垢藏離車子、淨不放逸離車子、恒水無垢淨德離車子，如是等各相謂言：「仁等，今可速往佛所。」	Among them were Licchavi children called Pure Unstained Treasure (Visuddhivimalagarbha), Pure and disciplined ( Visuddhyachanda), and Permanently Unstained Pure Ablution (Vimalagangodakadayaka). They said to each another: Let us hurry to where the Buddha is right now.
所辦供養，種種具足，一一離車，各嚴八萬四千大象，八萬四千駟馬寶車，八萬四千明月寶珠，天木、栴檀沈水、薪束，種種各有八萬四千。	 In the process they prepared a variety of offerings. Each of the Licchavis participated in decorating eighty-four thousand grand elephants and preparing wagons drawn by teams of four horses that totaled eighty-four thousand, adorned with eighty-four thousand bright jewels. They collected bundles of fragrant woods such as sandalwood and agarwood; each of these bundles included eighty-four thousand pieces.
一一象前，有寶幢幡蓋，其蓋小者，周匝縱廣滿一由旬，幡最短者長三十二由旬，寶幢卑者高百由旬。	In front of each elephant were hoisted ornamented banners, banderoles, and umbrellas. Even the smallest umbrella measured a full yojana in breadth, and the shortest banderole reached thirty-two yojanas in length, and even the plainest of the streamers was one hundred yojanas in height.
持如是等供養之具，往至佛所，稽首佛足，遶百千匝，而白佛言：	All these offerings were brought to where the Buddha resided. The Licchavis bowed down at the Buddha's feet and circumambulated him one hundred thousand times before speaking:
「世尊！我等今者，為佛及僧辦諸供具，唯願如來哀受我供。」	World-Honored One, we have prepared these offerings for the Buddha and the sangha. All we ask, Tathagata, is that you take pity on us and accept our donations.
如來默然而不許可。	But the Tathagata remained silent and did not give his permission.
諸離車等，不果所願，心懷愁惱。	Their wishes unfulfilled, the Licchavis felt disheartened.
以佛神力，去地七多羅樹，於虛空中默然而住。	Then, by means of the Buddha's supernatural powers, the Licchavis were raised above the earth to a height of seven palmyra trees, and there in the sky they remained in silence.
爾時復有五恒河沙大臣、長者，敬重大乘，若有異學謗正法者，是諸人等力能摧伏，猶如雹雨摧折草木。	At that time there were also important state officials and other distinguished lay followers who collectively numbered as many as the sands contained in five Ganges Rivers. They revered the Mahayana, and when people from other religious schools of thought repudiated the true-dharma, these leaders used their power to break these people down just as a hailstorm crushes plants and trees.
其名曰：日光長者、護世長者、護法長者，如是之等而為上首。	The principals in this lay group were known as the eminent Sunlight (Vairocana), the eminent Protector of the World (Lokapala), and the eminent Protector of the Dharma (Dharmapala).
所設供具，五倍於前，俱共往詣娑羅雙樹間，稽首佛足，遶百千匝，而白佛言：「世尊！	The offerings of this group totaled five times what had previously been given. They brought them into the area among the sal trees [where the Buddha sat] and, bowing down at the Buddha's feet, circumabulated him one hundred thousand times before addressing him, saying:
我等今者，為佛及僧設諸供具，唯願哀愍，受我等供。」	World-Honored One, we have prepared these offerings for the Buddha and the sangha. All we ask, Tathagata, is that you take pity on us and accept our donations.
如來默然而不受之。	a But the Tathagata remained silent and did not accept their gifts.
諸長者等，不果所願，心懷愁惱。	Their wishes unfulfilled, these distinguished individuals felt disheartened.
以佛神力，去地七多羅樹，於虛空中默然而住。	Then, by means of the Buddha's supernatural powers, they were raised above the earth to a height of seven palmyra trees, and there in the sky they remained in silence.
爾時復有應有六恒河沙毘舍離王，及其後宮夫人眷屬，閻浮提內所有諸王，除阿闍世并及城邑聚落人民。	At that time there was another group that included the king of Vaisali, his queen, consorts, and their retinue from court, together with all the other kings of Jambudvipa, excluding Ajatasatru and the people in his capital and the villages under his control.
